Customer Name,Buyer Segmentation,Year,Month,XWR,Total Qty
EVEREST CABLES & CONNECTORS PV,Customers Needing Attention,2017,April,73854.00,5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,10.19
NEELGIRI ELECTRICALS,Loyal Customers,2017,April,73400.00,2
NEELGIRI ELECTRICALS,Loyal Customers,2017,April,73400.00,4
NEELGIRI ELECTRICALS,Loyal Customers,2017,April,73400.00,9
NIKSHI ENTERPRISES PVT. LTD.,About To Sleep,2017,April,74304.00,6
PERIWAL POLYMERS PVT LTD.,Loyal Customers,2017,April,72900.00,15
ROOP RUBBER MILLS LIMITED,Loyal Customers,2017,April,74204.00,4
ROOP RUBBER MILLS LIMITED,Loyal Customers,2017,April,74204.00,3.975
SANCHETI VINYL,Loyal Customers,2017,April,72649.00,21
SANCHETI VINYL,Loyal Customers,2017,April,72649.00,19
SHIV POLY PLAST,Loyal Customers,2017,April,74900.00,2.5
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73750.00,12
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,7
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,16
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,17
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,9.73
H S I  AUTOMOTIVES  PVT. LTD.,Customers Needing Attention,2017,April,83100.00,16
KUMAR ARCH TECH PVT. LTD.,Customers Needing Attention,2017,April,73500.00,16
MANGLAM POLYMERS,Loyal Customers,2017,April,74300.00,17
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73750.00,15
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,75750.00,0.6
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73550.00,4.01
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,6.1
AROMA POLYMERS,About To Sleep,2017,April,73650.00,10
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,73849.00,9.5
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,73849.00,9.5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,9.58
KEI INDUSTRIES LIMITED,Loyal Customers,2017,April,73250.00,15
KEI INDUSTRIES LIMITED,Loyal Customers,2017,April,73250.00,12
MARVEL VINYLS LIMITED,Loyal Customers,2017,April,73050.00,21
PERIWAL POLYMERS PVT LTD.,Loyal Customers,2017,April,72900.00,16
RAJKAMAL INDUSTRIES,Loyal Customers,2017,April,74400.00,2
SANCHETI VINYL,Loyal Customers,2017,April,72649.00,14
SAXENA PLASTICS INDUSTRIES,Promising Customer,2017,April,73200.00,10
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73750.00,10
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73550.00,5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,9.52
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73750.00,5
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,73550.00,4.88
TECHNO AUTO COMPONENTS (I) PVT,Customers Needing Attention,2017,April,75304.00,0.5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,3.66
KUMAR ARCH TECH PVT. LTD.,Customers Needing Attention,2017,April,72000.00,19
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,9.5
GOWELL RUBBER INDUSTRIES,Customers Needing Attention,2017,April,71454.00,1
Rajendra Chemicals,Customers Needing Attention,2017,April,71449.00,5
SAGAR PLASTIC INDUSTRY,About To Sleep,2017,April,71454.00,6
SRI SUDARSHANA POLYMERS,Loyal Customers,2017,April,75249.00,1.325
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,12.5
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,8
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,16
YASHMAKE POLYTECH PVT. LTD.,About To Sleep,2017,April,71454.00,5
EVEREST CABLES & CONNECTORS PV,Customers Needing Attention,2017,April,71354.00,5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,11.3
MARVEL VINYLS LIMITED,Loyal Customers,2017,April,70600.00,21
RAJENDRA CHEMICALS,Potential Loyalists,2017,April,71500.00,5
ROOP RUBBER MILLS LIMITED,Loyal Customers,2017,April,71854.00,4
RS PROFILES PRIVATE LIMITED,Loyal Customers,2017,April,71454.00,3
SARAS POLY PRODUCTS,Loyal Customers,2017,April,71500.00,9
SHIV POLY PLAST,Loyal Customers,2017,April,72000.00,2.5
SHIVAM POLYMERS,At Risk Customer,2017,April,71354.00,3
SHREE MAHESHWARI INDUSTRIES,Potential Loyalists,2017,April,71400.00,10
SRIRAM CABLES (P) LTD.,Loyal Customers,2017,April,71500.00,30
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,16
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,8
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,0.275
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,0.45
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,6.775
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,12.5
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,70849.00,9.5
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,70849.00,9.5
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,11.58
HIMGIRI ENTERPRISES PVT. LTD,Loyal Customers,2017,April,71249.00,5
KAMAL POLYMERS,Customers Needing Attention,2017,April,71449.00,10
KAMAL POLYMERS,Customers Needing Attention,2017,April,71449.00,6
KAMAL POLYMERS,Customers Needing Attention,2017,April,71449.00,3
KEI INDUSTRIES LIMITED,Loyal Customers,2017,April,71050.00,12
PPAP AUTOMOTIVE LIMITED,Potential Loyalists,2017,April,75249.00,3
SANCHETI VINYL,Loyal Customers,2017,April,70599.00,19
SANCHETI VINYL,Loyal Customers,2017,April,70599.00,15
SANCHETI VINYL,Loyal Customers,2017,April,70599.00,15
SIDDHARTH UDHYOG,Loyal Customers,2017,April,71500.00,10
UMESH UDYOG,Loyal Customers,2017,April,72400.00,2
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,7.5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,10
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,1.725
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,14.82
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,19
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,14
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,15
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,15
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,19
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,21
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,19
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,19
NIRMESH,Loyal Customers,2017,April,71000.00,21
SANCHETI VINYL,Loyal Customers,2017,April,70599.00,19
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,72250.00,5
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,8
SUNRISE ENTERPRISES,Loyal Customers,2017,April,71300.00,20
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,1
ASIAN TUBES,Customers Needing Attention,2017,April,70900.00,5
EL-CHEM POLYMERS,Customers Needing Attention,2017,April,72500.00,1
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,13.28
MAHAVIR PIPES,About To Sleep,2017,April,70800.00,8
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,15
NEELGIRI ELECTRICALS,Loyal Customers,2017,April,71400.00,19
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,72050.00,2.56
SRI SUDARSHANA POLYMERS,Loyal Customers,2017,April,75249.00,1.5
SUPER INDUSTRIAL CORPORATION,Customers Needing Attention,2017,April,70400.00,10
3 R POLYMERS PVT LTD,Loyal Customers,2017,April,71250.00,19
3 R POLYMERS PVT LTD,Loyal Customers,2017,April,71250.00,1
ACME PLASTICS,Loyal Customers,2017,April,71454.00,2.225
ACURA EXTRUSION INDIA PRIVATE LTD.,Loyal Customers,2017,April,71000.00,15
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,12.5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,4
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,7.5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,1
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,12.5
BANSAL AGENCIES,Customers Needing Attention,2017,April,70092.00,16
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,5.24
NIRMESH ENTERPRISES PVT LTD,At Risk Customer,2017,April,70500.00,12
NIRMESH ENTERPRISES PVT LTD,At Risk Customer,2017,April,70000.00,8
PERIWAL POLYMERS PVT LTD.,Loyal Customers,2017,April,70600.00,13
PERIWAL POLYMERS PVT LTD.,Loyal Customers,2017,April,70600.00,13
PLASTICCO,Lost Customers,2017,April,72149.00,5
POLY PRODUCTS,Loyal Customers,2017,April,70199.00,19
RMG POLYVINYL INDIA LTD,Loyal Customers,2017,April,70950.00,15
S PAL ENTERPRISES PVT LTD,Loyal Customers,2017,April,71500.00,15.15
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,69600.00,12
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,69600.00,22
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,69600.00,16
SHIVAM POLYMERS,At Risk Customer,2017,April,71354.00,3
SRIRAM CABLES (P) LTD.,Loyal Customers,2017,April,71500.00,2.85
SUNRISE ENTERPRISES,Loyal Customers,2017,April,69800.00,5.5
SUPER INDUSTRIAL CORPORATION,Customers Needing Attention,2017,April,70400.00,6
SUPER INDUSTRIAL CORPORATION,Customers Needing Attention,2017,April,70400.00,4
A.B. Plasto Pvt Ltd,Loyal Customers,2017,April,70000.00,9
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,12.5
BANSAL AGENCIES,Customers Needing Attention,2017,April,70092.00,17
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,69500.00,10
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,70849.00,5
DIPLAST PLASTICS LIMITED,Loyal Customers,2017,April,69500.00,10
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,9.72
GOWELL RUBBER INDUSTRIES,Customers Needing Attention,2017,April,71454.00,1
KEI INDUSTRIES LIMITED,Loyal Customers,2017,April,71050.00,17
KESHAV INDUSTRIES,Loyal Customers,2017,April,72000.00,3
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,19
MARVEL VINYLS LIMITED,Loyal Customers,2017,April,70600.00,20
RMG POLYVINYL INDIA LTD,Loyal Customers,2017,April,70950.00,1
RMG POLYVINYL INDIA LTD,Loyal Customers,2017,April,70950.00,14
SAXENA PLASTICS INDUSTRIES,Promising Customer,2017,April,70400.00,10
SUNRISE ENTERPRISES,Loyal Customers,2017,April,69800.00,6.9
TRI SHAKTI POLYVIN PVT LTD,Loyal Customers,2017,April,70250.00,8
TRI SHAKTI POLYVIN PVT LTD,Loyal Customers,2017,April,70250.00,7
BANSAL AGENCIES,Customers Needing Attention,2017,April,70092.00,17
BANSAL AGENCIES,Customers Needing Attention,2017,April,70092.00,17
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,69500.00,10
CHEMVIN INDUSTRIES (UNIT II),Customers Needing Attention,2017,April,69500.00,15
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,70849.00,10
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,70849.00,9
DIAMOND PLASTIC PRODUTS,Customers Needing Attention,2017,April,69500.00,20
DIPLAST PLASTICS LIMITED,Loyal Customers,2017,April,69500.00,10
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,7
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,21
MARUTI OVERSEAS,Loyal Customers,2017,April,69849.00,9
POLY PRODUCTS,Loyal Customers,2017,April,70199.00,19
RAJKAMAL INDUSTRIES,Loyal Customers,2017,April,70900.00,0.975
SHREE MAHESHWARI INDUSTRIES,Potential Loyalists,2017,April,70300.00,10
SRI SUDARSHANA POLYMERS,Loyal Customers,2017,April,75249.00,3
SUNRISE ENTERPRISES,Loyal Customers,2017,April,70300.00,3
SUNRISE ENTERPRISES,Loyal Customers,2017,April,69800.00,13
SUNRISE ENTERPRISES,Loyal Customers,2017,April,69800.00,16
SUNRISE ENTERPRISES,Loyal Customers,2017,April,69800.00,10
ASIAN TUBES,Customers Needing Attention,2017,April,70600.00,7.5
ASIAN TUBES,Customers Needing Attention,2017,April,70600.00,2.5
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,69500.00,4
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,69500.00,11
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,69500.00,2
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,70849.00,1.5
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,70849.00,1.5
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,70849.00,11
DIAMOND PLASTIC PRODUTS,Customers Needing Attention,2017,April,69500.00,13
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,70000.00,10
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,69780.00,9.38
GWALIOR POLYPIPES LIMITED,Customers Needing Attention,2017,April,70400.00,10
HIMGIRI ENTERPRISES PVT. LTD,Loyal Customers,2017,April,71249.00,5
RMG POLYVINYL INDIA LTD,Loyal Customers,2017,April,70950.00,12
RMG POLYVINYL INDIA LTD,Loyal Customers,2017,April,70950.00,2
RMG POLYVINYL INDIA LTD,Loyal Customers,2017,April,70950.00,1
ROOP POLYMERS LIMITED,Loyal Customers,2017,April,71854.00,3
SHIVAM POLYMERS,At Risk Customer,2017,April,71354.00,3
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,72250.00,5
SUNRISE ENTERPRISES,Loyal Customers,2017,April,70300.00,14
SUNRISE ENTERPRISES,Loyal Customers,2017,April,70300.00,19
SUNRISE ENTERPRISES,Loyal Customers,2017,April,69800.00,17
SWASTIK POLYVINYLS PVT. LTD.,Customers Needing Attention,2017,April,71054.00,5
SWASTIK POLYVINYLS PVT. LTD.,Customers Needing Attention,2017,April,71054.00,2
3 R POLYMERS PVT LTD,Loyal Customers,2017,April,78050.00,1
A.B. Plasto Pvt Ltd,Loyal Customers,2017,April,70000.00,11
A.B. Plasto Pvt Ltd,Loyal Customers,2017,April,70000.00,4
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,1.5
AMBICA POLYTUBES,Loyal Customers,2017,April,69500.00,6
ARKAY POLYMERS,Customers Needing Attention,2017,April,71000.00,2.5
ASIAN TUBES,Customers Needing Attention,2017,April,70600.00,5
BHARAT DRIP IRRIGATION AND AGRO,Lost Customers,2017,April,70500.00,5
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,69500.00,20
DIAMOND PLASTIC PRODUTS,Customers Needing Attention,2017,April,69500.00,5
DIAMOND PLASTIC PRODUTS,Customers Needing Attention,2017,April,69500.00,18
